source,sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
runs/t1_seed0/metrics.csv,42,0,1,10.010222,8.854095,1.649990,0.003783,130,301,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,43,0,1,10.111589,8.955461,1.649990,0.003783,132,308,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,44,0,1,10.924353,9.527381,1.994052,0.003783,135,315,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,45,0,1,8.847458,8.282174,0.805927,0.003783,138,322,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,46,0,1,8.847458,8.282174,0.805927,0.003783,139,329,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,47,0,1,8.847458,8.282174,0.805927,0.003783,140,336,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,48,0,1,10.111589,8.955461,1.649990,0.003783,142,343,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,49,0,1,8.847458,8.282174,0.805927,0.003783,144,350,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,50,0,1,8.847458,8.282174,0.805927,0.003783,145,357,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,51,0,1,8.847458,8.282174,0.805927,0.003783,146,364,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,52,0,1,10.010222,8.854095,1.649990,0.003783,148,371,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,53,0,1,10.010222,8.854095,1.649990,0.003783,151,378,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,54,0,1,10.111589,8.955461,1.649990,0.003783,153,385,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,55,0,1,10.924353,9.527381,1.994052,0.003783,156,392,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,56,0,1,10.010222,8.854095,1.649990,0.003783,158,399,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,57,0,1,10.010222,8.854095,1.649990,0.003783,161,406,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,58,0,1,8.847738,8.282174,0.805927,0.004715,164,413,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,59,0,1,8.847738,8.282174,0.805927,0.004715,167,420,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,60,0,1,8.847738,8.282174,0.805927,0.004715,168,427,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,61,0,1,8.847738,8.282174,0.805927,0.004715,169,434,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,62,0,1,8.847738,8.282174,0.805927,0.004715,170,441,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,63,0,1,8.847738,8.282174,0.805927,0.004715,171,448,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,64,0,1,10.111868,8.955461,1.649990,0.004715,173,455,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,65,0,1,8.847738,8.282174,0.805927,0.004715,175,462,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,66,0,1,8.847738,8.282174,0.805927,0.004715,178,469,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,67,0,1,8.847738,8.282174,0.805927,0.004715,179,476,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,68,0,1,10.010502,8.854095,1.649990,0.004715,182,483,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,69,0,1,10.924633,9.527381,1.994052,0.004715,185,490,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,70,0,1,10.823266,9.426015,1.994052,0.004715,188,497,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
runs/t1_seed0/metrics.csv,71,0,1,8.847458,8.282174,0.805927,0.003783,192,504,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,72,0,1,10.111589,8.955461,1.649990,0.003783,194,511,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,73,0,1,8.847458,8.282174,0.805927,0.003783,196,518,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,74,0,1,10.111589,8.955461,1.649990,0.003783,198,525,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,75,0,1,10.924353,9.527381,1.994052,0.003783,201,532,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,76,0,1,10.010222,8.854095,1.649990,0.003783,204,539,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
runs/t1_seed0/metrics.csv,77,0,1,8.846323,8.282174,0.805927,0.000000,207,546,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c2de3206fbbb31f0a881c3698296c8fbcc69e1600acebcebe16affab342fdcd9
runs/t1_seed0/metrics.csv,78,0,1,8.847458,8.282174,0.805927,0.003783,209,553,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
runs/t1_seed0/metrics.csv,79,0,1,8.849940,8.282174,0.805927,0.012056,213,560,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,80,0,1,8.849940,8.282174,0.805927,0.012056,214,567,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,81,0,1,10.012704,8.854095,1.649990,0.012056,216,574,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,82,0,1,10.012704,8.854095,1.649990,0.012056,217,581,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,83,0,1,10.012704,8.854095,1.649990,0.012056,220,588,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,84,0,1,10.926835,9.527381,1.994052,0.012056,222,595,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,85,0,1,10.825469,9.426015,1.994052,0.012056,225,602,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,86,0,1,8.849940,8.282174,0.805927,0.012056,228,609,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,87,0,1,8.849940,8.282174,0.805927,0.012056,229,616,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,88,0,1,8.847458,8.282174,0.805927,0.003783,232,623,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,89,0,1,8.847458,8.282174,0.805927,0.003783,233,630,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,90,0,1,10.010222,8.854095,1.649990,0.003783,235,637,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,91,0,1,10.924353,9.527381,1.994052,0.003783,237,644,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,92,0,1,10.010222,8.854095,1.649990,0.003783,239,651,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,93,0,1,10.822987,9.426015,1.994052,0.003783,242,658,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,94,0,1,10.111589,8.955461,1.649990,0.003783,245,665,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,95,0,1,8.847458,8.282174,0.805927,0.003783,247,672,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,96,0,1,10.111589,8.955461,1.649990,0.003783,249,679,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,97,0,1,10.111589,8.955461,1.649990,0.003783,250,686,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,98,0,1,10.111589,8.955461,1.649990,0.003783,253,693,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,99,0,1,10.111589,8.955461,1.649990,0.003783,256,700,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,100,0,1,10.010222,8.854095,1.649990,0.003783,259,707,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,c3aa942d8d289ef5ab826ba4f6375bc512112d70068804f2d232a69f8ffda638
runs/t1_seed0/metrics.csv,101,0,1,8.847738,8.282174,0.805927,0.004715,262,714,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,102,0,1,8.847738,8.282174,0.805927,0.004715,263,721,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,103,0,1,10.111868,8.955461,1.649990,0.004715,265,728,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,104,0,1,10.111868,8.955461,1.649990,0.004715,266,735,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,105,0,1,11.025999,9.628748,1.994052,0.004715,269,742,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,106,0,1,10.111868,8.955461,1.649990,0.004715,271,749,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,107,0,1,10.010502,8.854095,1.649990,0.004715,273,756,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,108,0,1,10.924633,9.527381,1.994052,0.004715,276,763,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,109,0,1,10.010502,8.854095,1.649990,0.004715,279,770,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,110,0,1,10.111868,8.955461,1.649990,0.004715,281,777,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,135fb4e00de8c99e36a10ff2240a62c61ec58b106bccddc9e235b697a783a7df
runs/t1_seed0/metrics.csv,111,0,1,8.849940,8.282174,0.805927,0.012056,284,784,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,112,0,1,8.849940,8.282174,0.805927,0.012056,286,791,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f4fa12f369fbdcbf05623039f97ea0f4fcb9175725d7f044b4137a85813292a7
runs/t1_seed0/metrics.csv,113,0,1,10.111589,8.955461,1.649990,0.003783,289,798,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
runs/t1_seed0/metrics.csv,114,0,1,10.010502,8.854095,1.649990,0.004715,294,805,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed0/metrics.csv,115,0,1,10.010502,8.854095,1.649990,0.004715,295,812,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed0/metrics.csv,116,0,1,10.010502,8.854095,1.649990,0.004715,296,819,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed0/metrics.csv,117,0,1,8.847738,8.282174,0.805927,0.004715,298,826,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed0/metrics.csv,118,0,1,8.847738,8.282174,0.805927,0.004715,299,833,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed0/metrics.csv,119,0,1,8.847738,8.282174,0.805927,0.004715,302,840,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
runs/t1_seed1/metrics.csv,20,0,1,8.847738,8.282174,0.805927,0.004715,48,147,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
runs/t1_seed1/metrics.csv,21,0,1,10.924633,9.527381,1.994052,0.004715,51,154,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
runs/t1_seed1/metrics.csv,22,0,1,10.924633,9.527381,1.994052,0.004715,54,161,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
